name,area,assembly_id
NA-226,Hyderabad-II,1
NA-227,Hyderabad-III,1
NA-228,Tando Muhammad Khan,1
NA-229,Badin-I,1
NA-230,Badin-II,1
NA-231,Sujawal,1
NA-232,Thatta,1
NA-233,Jamshoro,1
NA-234,Dadu-I,1
NA-235,Dadu-II,1
NA-236,Malir-I,1
NA-237,Malir-II,1
NA-238,Malir-III,1
NA-239,Korangi Karachi-I,1
NA-240,Korangi Karachi-II,1
NA-241,Korangi Karachi-III,1
NA-242,Karachi East-I,1
NA-243,Karachi East-II,1
NA-244,Karachi East-III,1
NA-245,Karachi East-IV,1
NA-246,Karachi South-I,1
NA-247,Karachi South-II,1
NA-248,Karachi West-I,1
NA-249,Karachi West-II,1
NA-250,Karachi West-III,1
NA-251,Karachi West-IV,1
NA-252,Karachi West-V,1
NA-253,Karachi Central-I,1
NA-254,Karachi Central-II,1
NA-255,Karachi Central-III,1
NA-256,Karachi Central-IV,1
NA-257,Killa Saifullah,1
NA-258,Loralai,1
NA-259,Dera Bugti,1
NA-260,Nasirabad/Jhal Magsi,1
NA-261,Jafarabad/Sohhatpur,1
NA-262,Pishin,1
NA-263,Killa Abdullah,1
NA-264,Quette-I,1
NA-265,Quetta-II,1
NA-266,Quetta-III,1
NA-267,Mastung,1
NA-268,Chaghai/Nushki,1
NA-269,Khuzdar,1
NA-270,Panjgur/Washuk/Awaran,1
NA-271,Kech,1
NA-272,Lasbela/Gwadar,1
