name,area,assembly_id
PP-199,Sahiwal-IV,2
PP-200,Sahiwal-V,2
PP-201,Sahiwal-VI,2
PP-202,Sahiwal-VII,2
PP-203,Khanewal-I,2
PP-204,Khanewal-II,2
PP-205,Khanewal-III,2
PP-206,Khanewal-IV,2
PP-207,Khanewal-V,2
PP-208,Khanewal-VI,2
PP-209,Khanewal-VII,2
PP-210,Khanewal-VIII,2
PP-211,Multan-I,2
PP-212,Multan-II,2
PP-213,Multan-III,2
PP-214,Multan-IV,2
PP-215,Multan-V,2
PP-216,Multan-VI,2
PP-217,Multan-VII,2
PP-218,Multan-VIII,2
PP-219,Multan-IX,2
PP-220,Multan-X,2
PP-221,Multan-XI,2
PP-222,Multan-XII,2
PP-223,Multan-XIII,2
PP-224,Lodhran-I,2
PP-225,Lodhran-II,2
PP-226,Lodhran-III,2
PP-227,Lodhran-IV,2
PP-228,Lodhran-V,2
PP-229,Vehari-I,2
PP-230,Vehari-II,2
PP-231,Vehari-III,2
PP-232,Vehari-IV,2
PP-233,Vehari-V,2
PP-234,Vehari-VI,2
PP-235,Vehari-VII,2
PP-236,Vehari-VIII,2
PP-237,Bahawalnagar-I,2
PP-238,Bahawalnagar-II,2
PP-239,Bahawalnagar-III,2
PP-240,Bahawalnagar-IV,2
PP-241,Bahawalnagar-V,2
PP-242,Bahawalnagar-VI,2
PP-243,Bahawalnagar-VII,2
PP-244,Bahawalnagar-VIII,2
PP-245,Bahawalpur-I,2
PP-246,Bahawalpur-II,2
PP-247,Bahawalpur-III,2
PP-248,Bahawalpur-IV,2
PP-249,Bahawalpur-V,2
PP-250,Bahawalpur-VI,2
PP-251,Bahawalpur-VII,2
PP-252,Bahawalpur-VIII,2
PP-253,Bahawalpur-IX,2
PP-254,Bahawalpur-X,2
PP-255,Rahim Yar Khan-I,2
PP-256,Rahim Yar Khan-II,2
PP-257,Rahim Yar Khan-III,2
PP-258,Rahim Yar Khan-IV,2
PP-259,Rahim Yar Khan-V,2
PP-260,Rahim Yar Khan-VI,2
PP-261,Rahim Yar Khan-VII,2
PP-262,Rahim Yar Khan-VIII,2
PP-263,Rahim Yar Khan-IX,2
PP-264,Rahim Yar Khan-X,2
PP-265,Rahim Yar Khan-XI,2
PP-266,Rahim Yar Khan-XII,2
PP-267,Rahim Yar Khan-XIII,2
PP-268,Muzaffargarh-I,2
PP-269,Muzaffargarh-II,2
PP-270,Muzaffargarh-III,2
PP-271,Muzaffargarh-IV,2
PP-272,Muzaffargarh-V,2
PP-273,Muzaffargarh-VI,2
PP-274,Muzaffargarh-VII,2
PP-275,Muzaffargarh-VIII,2
PP-276,Muzaffargarh-IX,2
PP-277,Muzaffargarh-X,2
PP-278,Muzaffargarh-XI,2
PP-279,Muzaffargarh-XII,2
PP-280,Layyah-I,2
PP-281,Layyah-II,2
PP-282,Layyah-III,2
PP-283,Layyah-IV,2
PP-284,Layyah-V,2
PP-285,Dera Ghazi Khan-I,2
PP-286,Dera Ghazi Khan-II,2
PP-287,Dera Ghazi Khan-III,2
PP-288,Dera Ghazi Khan-IV,2
PP-289,Dera Ghazi Khan-V,2
PP-290,Dera Ghazi Khan-VI,2
PP-291,Dera Ghazi Khan-VII,2
PP-292,Dera Ghazi Khan-VIII,2
PP-293,Rajan Pur-I,2
PP-294,Rajan Pur-II,2
PP-295,Rajan Pur-III,2
PP-296,Rajan Pur-IV,2
PP-297,Rajan Pur-V,2
