constituency_id,candidate_name,symbol_id
NA-257,Allah Noor,295
NA-257,Aman Ullah,162
NA-257,Sheikh Abdul Sattar,153
NA-257,Sheikh Imran Babar,12
NA-257,Abdul Rauf,274
NA-257,Abdul Wasay,31
NA-257,Atta Muhammad,70
NA-257,Ain U Din,14
NA-257,Muhammad Ameen Khan Jogizai,19
NA-257,Muhammad Naseem,271
NA-257,Najam U Din,161
NA-258,Ashraf Khan,163
NA-258,Amir Zaman,31
NA-258,Hafiz Nasrullah,147
NA-258,Habib Ur Rehman,295
NA-258,Haq Nawaz Buzdar,14
NA-258,Haider Khan Nasir,190
NA-258,Khalil Ur Rehman,230
NA-258,Rehmatullah,161
NA-258,Sarbuland Khan Jogizai,12
NA-258,Sardar Sikandar Hayat Khan Jogezai,151
NA-258,Sardar Muhammad Yaqoob Khan Nasir,284
NA-258,Syed Alam Shah,264
NA-258,Syed Qurban Ali Gharsheen,19
NA-258,Abdul Razzaq,162
NA-258,Azeem Jan,274
NA-258,Muhammad Ikhlas,11
NA-258,Muhammad Israr Tareen,70
NA-258,Muhammad Iqbal Tareen,35
NA-258,Wali Dad,85
NA-259,Ahmad Jan,101
NA-259,Allah Dad,162
NA-259,Babar Marghazani,19
NA-259,Jalamb Khan Bugti,149
NA-259,Husnain Iqbal Minhas,118
NA-259,Khan Muhammad,34
NA-259,Sardar Mir Baz Muhammad Khetran,12
NA-259,Syed Abdul Hayee Shah Rashidi,204
NA-259,Shehzadi,39
NA-259,Sheraz Ali,279
NA-259,Abdul Hayee Baloch,246
NA-259,Abdul Ghafar,14
NA-259,Attaullah,241
NA-259,FaqeerUllah Jan,51
NA-259,Faqeer Muhammad,56
NA-259,Kohdayar Marri,28
NA-259,Mehrab Khan,230
NA-259,Muhammad Saddique,71
NA-259,Mian Khan,41
NA-259,Mir Ibrar Khan Khetran,85
NA-259,Mir Baz Muhammad,31
NA-259,Mir Hair Bayar Khan Domki,128
NA-259,Mir Dostain Khan Domki,70
NA-259,Mir Shah Nawaz Khan Marri,160
NA-259,Mir Tariq Mehmood Khetran,167
NA-259,Mir Liaqat Ali Khan,239
NA-259,Mir Muhammad Khan,49
NA-259,Nawab Muhammad Mir Aali Bugti,266
NA-259,Nawabzada Shahzain Bugti,323
NA-259,Nawabzada Gazain Khan Marri,330
NA-259,Noor Ahmad Shah,295
NA-260,Izhar Hussain,151
NA-260,Aurangzaib Alamgir Magsi,153
NA-260,Taj Muhammad Raisani,41
NA-260,Khalid Hussain Magsi,70
NA-260,Rehmatullah,242
NA-260,Sain Bakhsh,123
NA-260,Sardar Abdul Sattar Khan,55
NA-260,Sardar Yar Muhammad Rind,19
NA-260,Syed Naseer Ahmad Shah Dopasi,12
NA-260,Shehnaz Naseer Baloch,14
NA-260,Abdul Sattar,239
NA-260,Abdul Majid,95
NA-260,Ali Hassan,230
NA-260,Ghulam Haider,204
NA-260,Ghulam Rasool,56
NA-260,Muhammad Panah,241
NA-260,Muhammad Riaz,4
NA-260,Molvi Muhammad Abdullah,31
NA-260,Mir Khan,149
NA-260,Mir Sardar Khan Rind,28
NA-260,Mir Muhammad Asim Kurd,193
NA-260,Mir Muhammad Magsi,85
NA-260,Mir Muhammad Hashim Khan,215
NA-260,Nisar Ahmad,281
NA-260,Naasrullah,167
NA-260,Niaz Ahmad,271
NA-261,Izhar Hussain,149
NA-261,Pyara Khan,330
NA-261,Rahat Jamali,39
NA-261,Sohrab Khan,151
NA-261,Zahoor Hussain Khan,70
NA-261,Ghanwar Ali,259
NA-261,Mir Changez Khan Jamali,12
NA-261,Mir Hussain,31
NA-261,Mir Khan Muhammad Jamali,19
NA-261,Nazir Ahmad,14
NA-262,Ehsam Uddin,294
NA-262,Aemal Khan,213
NA-262,Thekadar Hayat Ullah,183
