constituency_id,candidate_name,symbol_id
NA-9,Istiqbal Khan,31
NA-9,Sir Mir Khan,93
NA-9,Sher Akbar Khan,19
NA-9,Abdul Rauf,162
NA-9,Fanoos Gujjar,40
NA-9,Kamran Khan,284
NA-9,Mian Moin Ud Din,151
NA-10,Amir Sultan,31
NA-10,Bakht Naseeb Khan,40
NA-10,Parvaiz Ahmad,241
NA-10,Hamid Iqbal Khan,12
NA-10,Sadeed Ur Rehman,162
NA-10,Safeer Khan,123
NA-10,Syed Fareen,128
NA-10,Ibadullah Khan,284
NA-10,Waqar Ahmad Khan,19
NA-11,Afreen Khan,31
NA-11,Aurang Zeb,19
NA-11,Bakhat Jahan,55
NA-11,Juma Din,85
NA-11,Haji Misar Khan,284
NA-11,Haji Mir Dad,151
NA-11,Dost Muhammad Shakir,56
NA-11,Syed Jan,128
NA-11,Syed Gul Badshah,149
NA-11,Shehzad Latif,241
NA-11,Sher Baz,129
NA-11,Abdul Qayum,153
NA-11,Mehboobullah Jan,292
NA-11,Muhammad Naseer,174
NA-11,Muhammad Yaseen,167
NA-11,Malik Noor Wali Shah,12
NA-11,Noor Ul Ameen,58
NA-12,Rustam Khan,58
NA-12,Rasheed Ahmad,69
NA-12,Sardar Malik Jan,12
NA-12,Saeed Ahmad,149
NA-12,Sabir Hussain Shah,292
NA-12,Muhammad Nawaz Khan,19
NA-12,Muhammad Yousaf,31
NA-12,Misbah ullah Babar,162
NA-13,Afsar Khan,190
NA-13,Samar Islam,241
NA-13,Sardar Shah Jahan Yousaf,284
NA-13,Sardar Muhammad Sultan,128
NA-13,Saleh Muhammad,56
NA-13,Amir Shehzad,71
NA-13,Abdul Salam,61
NA-13,Iffat Kalsoom,162
NA-13,Ambareen Ahsan,266
NA-13,Muhammad Baseer Khan,31
NA-13,Muhammad Banaris,123
NA-13,Muhammad Javed,85
NA-13,Muhammad Gulfam Sawati,151
NA-13,Nargis Ali,292
NA-14,Ahmad Shehryar Khan,39
NA-14,Roshan Zaman,149
NA-14,Zar Gul Khan,19
NA-14,Fakhar Uz Zaman Khan,292
NA-14,Qazi Tayyab Shehzad,71
NA-14,Kafaytullah,31
NA-14,Muhammad Asif,58
NA-14,Muhammad Sajjad,66
NA-14,Muhammad Safdar,284
NA-14,Muhammad Aqeel Khan Durrani,55
NA-14,Muhammad Wajid Khan,28
NA-15,Ayaz Khan Jadoon,147
NA-15,Sameen Riaz Abbasi,118
NA-15,Zulfiqar Javed,34
NA-15,Sardar Gohar Zaman Khan,204
NA-15,Sardar Muhammad Iqbal Khan,58
NA-15,Sardar Muhammad Yaqoob,149
NA-15,Sardar Manzoor Mumtaz Abbasi,12
NA-15,Ali Asghar khan,19
NA-15,Fazal Ur Rehman,31
NA-15,Muhammad Asghar Shah,128
NA-15,Makhdoom Arif Hussain Kazmi,71
NA-15,Murtaza Javed Abbasi,284
NA-15,Nurat Anjum,85
NA-16,Ayyaz Khan Jadoon,147
NA-16,Bilal Siddique,266
NA-16,Javed Khan,279
NA-16,Jamil Hussain,58
NA-16,Rizwan Khan,204
NA-16,Sardar Maqsood Ayoub,129
NA-16,Syed Saeed Khalid,277
NA-16,Syed Faisal Hussain Shah Gillani,280
NA-16,Shoukat Ali Tanoli,56
NA-16,Ali Khan Jadoon,19
NA-16,Muhammad Irshad,162
NA-16,Muhammad Asghar Shah,128
NA-16,Muhammad Rashid,196
NA-16,Muhammad Rohail,149
NA-16,Muhammad Saeed Khan,31
NA-16,Muhammad Waqas,71
NA-16,Murad Sher,180
NA-16,Mohabbat Khan,284
NA-17,Irum Fatima,162
NA-17,Babar Nawaz Khan,284
NA-17,Habib Ullah,34
NA-17,Raja Qaiser Ali,177
NA-17,Rizwan Saeed Mughal,39
NA-17,Syed Hamid Shah,292
NA-17,Shaista Naz,12
NA-17,Umer Ayoub Khan,19
NA-17,Farooq Shah,31
NA-17,Qazi Attiq Ur Rehman,242
NA-17,Muhammad Zubair,71
NA-17,Muhammad Fiaz,163
NA-17,Malik Shakeel Ahmad,55
NA-17,Wakalat khan,128
NA-18,Asad Qaiser,19
NA-18,Khalid Mehmood,40
NA-18,Khalil Ahmad,274
NA-18,Rizwan Ullah,128
NA-18,Sajjad Ahmad,284
NA-18,Shamas Ul Qamar,151
NA-18,Shah nawaz KhanZada,56
NA-18,Fazal Akram,149
NA-18,Fazal Ali,31
NA-18,Muhammad Islam Khan,162
NA-18,Muhammad Razzaq,201
NA-18,Muhammad Tariq,283
NA-18,Masood Jabbar,58
NA-19,Syed Khalid,58
NA-19,Shahid Khan,40
NA-19,Shehzad Ali Khan,163
NA-19,Usman Khan,19
NA-19,Atta Ul Haq,31
NA-19,Imran Ullah,284
NA-19,Kashif Ahmad,292
NA-19,Muhammad Naeem,12
NA-19,Waris Khan,162
NA-20,Akhtar Nawaz,284
NA-20,Atta Ur Rehman,31
NA-20,Gul Nawaz Khan,162
NA-20,Mujahid Ali,19
NA-20,Nawabzada Khawaja Muhammad Khan Hoti,12
NA-21,Amir Haider Azam Khan,162
NA-21,Syed Abid Ali Shah,12
NA-21,Shuja Ul Mulk,31
NA-21,Muhammad Syed,78
NA-21,Muhammad Atif,19
NA-21,Mukhtiar,56
NA-22,Ahsan Ullah,71
NA-22,Jamshed Khan,284
NA-22,Shoaib Alam Khan,12
NA-22,Azmat Ali,134
NA-22,Ali Muhammad,19
NA-22,Muhammad Qasim,31
NA-22,Malik Aman Khan,162
NA-23,Aftab Ahmad Khan Sherpao,58
NA-23,Anwar Taj,19
NA-23,Begum Tahira Bukhari,284
NA-23,Haji Zafar Ali Khan,31
NA-23,Sobedar Khan,56
NA-23,Gulzar Ahmad Khan,162
NA-23,Manzoor Ahmad,12
NA-24,Aftab Alam,12
NA-24,Asfandyar Wali Khan,162
NA-24,Zahoor Ahmad,93
NA-24,Farooq Shah,130
NA-24,Fazal Muhammad Khan,19
NA-24,Muhammad Shafiq,71
NA-24,Molana Muhammad Gohar Shah,31
NA-24,Mian Alamgir Shah,284
NA-25,Ihrar Khan,201
NA-25,Ijaz Ul Haq,11
NA-25,Parvez Khatak,19
NA-25,Khan Prvez,12
NA-25,Siraj Muhammad Khan,284
NA-25,Syed Zulfiqar Ali Shah,31
NA-25,Ayesha Gulalai Wazir,214
NA-25,Muhammad Sher Ali,142
NA-25,Malik Juma Khan,162
NA-26,Asif Luqman Qazi,31
NA-26,Sana Ullah Jan,71
NA-26,Jamal Khan Khatak,162
NA-26,Hji Nawab Khan,284
NA-26,Saleh Muhammad,66
NA-26,Imran Khatak,19
NA-26,Feroz Jamal shah Kaka Khel,12
NA-26,Muhammad Tanveer,11
NA-26,Muhammad Faisal Khatak,163
NA-27,Amjad Ali,58
NA-27,Sobia Shahid,284
NA-27,Haji Ghulam Ali,31
NA-27,Sidra Qadeem,208
NA-27,Shakeel Abid,196
NA-27,Tahir Nadeem,162
NA-27,Asima Alamgir,12
NA-27,Faqeer Muhammad,11
NA-27,Noor Alam Khan,19
NA-27,Naveed Ali,149
NA-28,Arbab Amir Ayoub,19
NA-28,Ikram Ullah,71
NA-28,Shafi Akbar,162
NA-28,Sabir Hussain Awan,31
NA-28,Muhammad Intikhab Khan,284
NA-28,Muhammad Daood Khan Barki,11
NA-29,Arbab Kamal Ahmad,162
NA-29,Ameer Muqam,284
NA-29,Muhammad Shafiq,71
NA-29,Nasir Khan,19
NA-29,Naeem Jan,31
NA-30,Arbab Alamgir Khan,12
NA-30,Arbab Najeeb Ullah Khan,31
NA-30,Sher Ali Arbab,19
NA-30,Muhammad Junaid,284
NA-30,Muhammad Shoukat Khursheed,11
NA-30,Muhammad Alamgir Khalil,162
NA-30,Malik Haider Khan,292
NA-30,Noor Wali Khan,118
NA-31,Akhunzada Irfan Ullah Shah,12
NA-31,Ilyas Ahmad Bilour,223
NA-31,Aurangzeb Khan,93
NA-31,Haji Ghulam Ahmad Bilour,162
NA-31,Rooh Ullah,149
NA-31,Shoukat Ali S/O Fazal Muhammad Afzal,145
NA-31,Shoukat Ali S/O Liaqat Ali,19
NA-31,Gull Rehman,17
NA-31,Muhammad Saqqaf Yasir,273
NA-31,Muhammad Sadiq Ur Rehman Paracha,31
NA-31,Muhammad Nadeem,284
NA-31,Noor Hussain,309
NA-31,Yasmeen,71
NA-32,Bismillah Khan,12
NA-32,Sehriyar Afridi,19
NA-32,Abbas Afridi,284
NA-32,Asmat Ullah Khan,204
NA-32,Gohar Muhammad Khan Bangash,31
NA-32,Muhammad Fayyaz,56
NA-32,Madiha Faraz,266
NA-32,Mufi Ibrar Sultan,101
NA-32,Najeeb ullah Durani,71
NA-32,Yousaf Afridi,183
NA-33,Akhtar MUnir Bangash,233
NA-33,Ulfat Husain,12
NA-33,Taj Muhammad,24
NA-33,Hussain Jalali,172
NA-33,Khaliq Ur Rehman,11
NA-33,Khial Zaman,19
NA-33,Rangeen Khan,59
NA-33,Sultan Akbar,107
NA-33,Syed Haider Ali Shah,162
NA-33,Arif Hussain,128
NA-33,Atiq Ur Rehman,31
NA-33,Muhammad Imran,39
NA-33,Malak Riaz Bangash,121
NA-34,Ikhtiar Gull,39
NA-34,Altaf Qadir,135
NA-34,Touseef Razzaq,101
NA-34,Haseeb Ahmad Afaqi,292
NA-34,Hameed Ullah Khan,283
NA-34,Zeeshan Ahmad,201
NA-34,Rehmat Salam Khatak,284
NA-34,Asad Ullah Khan Khatak,142
NA-34,Shakir Zeeshan Khatak,118
NA-34,Shahid Ahmad,19
NA-34,Shah Abdul Aziz,161
NA-34,Shamas Ur Rehamn Khatak,149
NA-34,Zafar Mehmood,263
NA-34,Usman Ghani,324
NA-34,Aziz Khan,23
NA-34,Ammad Azam,73
NA-34,Gul Sahib Khan,294
NA-34,Mir Zakim Khan,31
NA-34,Nawabzada Mohsin Ali Khan,12
NA-35,Amin Ullah,147
NA-35,Islam Noor,161
NA-35,Akram Khan Durrani,31
NA-35,Inam Ullah,118
NA-35,Hamid Shah,11
NA-35,Syed Yasmeen Safdar,12
NA-35,Safdar Iqbal Shah,35
NA-35,Abdul Samad Khan,85
NA-35,Imran Ahmed Khan Niazi,19
NA-35,Liaqat Ali Khan,93
NA-35,Muhammad Usman Ali Khan,264
NA-35,Wali Dad Khan,175
